genetics_bool,genetic_sd,slot_duration,start_abdominal,timestep,simultaneous_fixation,clutch_m,clutch_sd,noise_sd,n_embryos,smallest_n,total_clutches,chisquare,chi_pvalue,pearsonsR,Rsquared,pear_pvalue
True,5,30,42,2,False,10,6,20,621,17,69,5.13966480447,0.526029071077,0.978879080078,0.958204253415,0.0
True,5,60,42,2,False,10,6,20,874,61,80,11.8516129032,0.0653621968978,0.971657447013,0.944118194336,0.0
False,0,120,42,2,True,10,6,20,676,50,61,6.56488549618,0.36296465739,0.958623798081,0.918959586248,0.0
True,10,120,42,2,False,10,6,20,744,113,79,8.7201426025,0.189939516934,0.945834875658,0.894603612011,0.0
False,0,30,42,2,False,10,6,20,736,21,74,3.14932126697,0.789885633077,0.986888349311,0.973948614006,0.0
False,0,60,42,2,True,10,6,20,554,11,60,3.40350877193,0.756760016907,0.987671381123,0.97549475709,0.0
False,0,120,42,2,True,10,6,20,712,81,76,2.40566037736,0.878872766301,0.972054462207,0.944889877496,0.0
True,10,60,42,2,False,10,6,20,754,51,66,2.2,0.900416281403,0.956832480287,0.915528395332,0.0
True,10,60,42,2,False,10,6,20,635,46,65,3.3535791757,0.763337325191,0.956081418055,0.91409167795,0.0
False,0,120,42,2,True,10,6,20,773,79,77,3.06944444444,0.800081725734,0.973145510232,0.947012184085,0.0
False,0,60,42,2,True,10,6,20,682,30,66,3.68181818182,0.719643213836,0.985556245541,0.971321113126,0.0
False,0,15,42,2,False,10,6,20,826,4,79,2.33734939759,0.886208317671,0.987498418542,0.975153126623,0.0
False,0,30,42,2,True,10,6,20,499,8,56,2.33333333333,0.886634179201,0.985541273577,0.971291601924,0.0
False,0,15,42,2,False,10,6,20,615,7,64,1.09523809524,0.9817429835,0.9877222897,0.975595321571,0.0
True,10,30,42,2,False,10,6,20,859,23,74,9.36909871245,0.153859448641,0.961570736378,0.924618281058,0.0
True,5,30,42,2,False,10,6,20,613,15,69,0.666666666667,0.995182375797,0.98069774191,0.961768060988,0.0
True,5,30,42,2,True,10,6,20,910,3,81,5.48275862069,0.483543004848,0.97753502248,0.955574720175,0.0
True,5,60,42,2,True,10,6,20,593,13,60,6.4,0.379903741078,0.972714919055,0.946174313751,0.0
False,0,120,42,2,False,10,6,20,752,116,78,5.87479406919,0.437361037873,0.971424464037,0.943665489329,0.0
False,0,120,42,2,False,10,6,20,745,105,71,9.25089605735,0.15995174258,0.971922772814,0.944633876314,0.0
True,5,120,42,2,True,10,6,20,747,102,74,30.4473684211,3.23112533747e-05,0.975028713047,0.950680991266,0.0
False,0,60,42,2,False,10,6,20,862,66,77,1.03125,0.984399881294,0.983825776827,0.96791315915,0.0
False,0,120,42,2,False,10,6,20,595,82,72,1.25806451613,0.973919654317,0.975237984255,0.951089125934,0.0
False,0,30,42,2,False,10,6,20,605,17,72,0.368715083799,0.999089956864,0.98902977088,0.978179887686,0.0
True,5,120,42,2,True,10,6,20,663,58,65,10.8698630137,0.0924827106412,0.974705586062,0.950050979501,0.0
True,5,30,42,2,False,10,6,20,808,20,81,2.75362318841,0.839073298839,0.981670992914,0.963677938329,0.0
True,10,30,42,2,False,10,6,20,796,19,77,4.61256544503,0.594373431028,0.956610622543,0.915103883162,0.0
True,5,30,42,2,True,10,6,20,639,4,67,4.75,0.576253827688,0.980654080716,0.961682426025,0.0
True,10,120,42,2,False,10,6,20,624,89,62,8.85649202733,0.181811170908,0.950867959612,0.904149876616,6.33866460988e-319
True,5,15,42,2,False,10,6,20,782,8,74,3.0303030303,0.805033984102,0.97884642762,0.958140328864,0.0
False,0,60,42,2,True,10,6,20,683,21,72,6.70967741935,0.348532368424,0.986248883459,0.972686860125,0.0
